,make,model,model_yr,body_style,vehicle_type,drive_train,production_release,vehicle_class,body_frame,num_of_seating,seat_loc,seat_loc_comments,min_gross_weight,max_gross_weight,upper_belt_anchorage,upper_belt_anchorage_loc,seat_belt_pretensioner,seat_belt_pretensioner_loc,load_limiters,load_limiters_loc,frnt_belt_indicator,frnt_belt_loc,rear_belt_indicator,latch_rear_position,head_sab,head_sab_type,head_sab_loc,head_sab_mount_loc,head_sab_meet_requirements,head_sab_deploy_in_rollover,torso_sab,torso_sab_type,torso_sab_loc,torso_sab_mount_loc,knee_bolsters,knee_bolsters_loc,adl,head_restraint_ind,dynamic_head_restraint_ind,beti,blind_spot_detection,day_run_lights,adaptive_cruise_control,abs,ars,ars_loc,auto_crash_notification,crash_data_recorder,anti_theft_device,anti_theft_device_type,frnt_collision_warning,nhtsa_frnt_collision_warning,nhtsa_fcw_evaluation,lane_departure_warning,nhtsa_lane_departure_warning,nhtsa_ldw_evaluation,crash_imminent_brake,nhtsa_crash_imminent_brake,nhtsa_cib_evaluation,dynamic_brake_support,nhtsa_dynamic_brake_support,nhtsa_dbs_evaluation,nhtsa_esc,pelvis_sab,pelvis_sab_type,pelvis_sab_loc,pelvis_sab_mount_loc,overall_stars,frnt_test_no,frnt_vin,frnt_driv_stars,frnt_pass_stars,frnt_safety_concern_driv,frnt_safety_concern_pass,frnt_foot_notes,frnt_foot_notes_pass,overall_frnt_stars,curb_weight,frnt_tested_with,hic15_driv,chest_defl_driv,left_femur_driv,right_femur_driv,nij_driv,neck_tens_driv,net_comp_driv,hic15_pass,chest_defl_pass,left_femur_pass,right_femur_pass,nij_pass,neck_tens_pass,net_comp_pass,side_test_no,side_vin,side_driv_stars,side_pass_stars,side_barrier_star,comb_frnt_star,comb_rear_star,side_safety_concern_driv,side_safety_concern_pass,side_foot_notes,side_foot_notes_pass,overall_side_stars,side_tested_with,side_hic_36_driv,rib_deflection_driv,abdomen_force_driv,symphysis_force_driv,side_hic_36_pass,pelvic_force_pass,pole_test_no,pole_vin,side_pole_stars,pole_safety_concern,pole_foot_notes,pole_tested_with,pole_hic_36_driv,pelvic_force,rollover_possibility,static_stabi_factor,tip,roll_safety_concern,roll_foot_notes,rollover_stars,nhtsa_backup_camera,backup_camera
10,ALFA,STELVIO,2026,SUV,MPV,AWD,1,,,5,"1,3,4,5,6",,5115.0,5247.0,,,Standard,"1,3",Standard,"1,3",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3",,,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Test Pending,Stanard,Stanard,Test Pending,Standard,Standard,Test Pending,Standard,Standard,Test Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
11,ALFA,TONALE,2026,SUV,MPV,AWD,1,,,5,"1,3,4,5,6",,4784.0,4960.0,,,Standard,"1,3",Standard,"1,3",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3",,,1,,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Test Pending,Standard,Standard,Test Pending,Standard,Standard,Test Pending,Standard,Standard,Test Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
12,AUDI,A3,2026,4 DR,PC,AWD,1,,,5,"1,3,4,5,6",,4387.0,4387.0,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,Standard,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
13,AUDI,A3,2026,4 DR,PC,FWD,1,,,5,"1,3,4,5,6",,4387.0,4387.0,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,Standard,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
14,AUDI,A5,2026,4 DR,PC,AWD,1,,,5,"1,3,4,5,6",,5269.0,5269.0,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,Standard,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
15,AUDI,A5,2026,4 DR,PC,FWD,1,,,5,"1,3,4,5,6",,5269.0,5269.0,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,Standard,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
16,AUDI,A6 ALLROAD,2026,SW,MPV,AWD,1,,,5,"1,3,4,5,6",,5677.0,5677.0,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,Standard,"1,3",,"1,3,4,5,6",,,Optional,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,5.0,10982.0,WAUD8AF2XKN129794,5.0,4.0,,,,,4.0,4028.0,"CURTAIN AIR BAG,FRONTAL AIR BAG,KNEE AIR BAG",196.595,22.979,1297.854,1935.812,0.3,1433.227,283.713,354.28,11.894,1172.045,1473.825,0.41,1013.88,434.315,11297.0,WAUD8BF2XLN072276,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",141.305,24.962,787.326,1263.975,116.169,1661.586,10983.0,WAUD8AF2XKN129455,5.0,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",395.152,2285.138,0.089,1.52,No Tip,,,5.0,,
17,AUDI,A6 SEDAN,2026,4 DR,PC,AWD,1,,,5,"1,3,4,5,6",,5710.0,5710.0,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,Standard,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
18,AUDI,A8,2026,4 DR,PC,AWD,1,,,5,"1,3,4,5,6",,6140.0,6140.0,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,Standard,"1,3",,"1,3,4,5,6","1,3",,Optional,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
19,AUDI,Q3,2026,SUV,MPV,AWD,1,,,5,"1,3,4,5,6",,5026.0,5026.0,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,TBT,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,,,,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
20,AUDI,Q4 E-TRON,2026,SUV,MPV,AWD,1,,,5,"1,3,4,5,6",,6008.0,6041.0,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,,,,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,5.0,14252.0,WA1J2BFZ5NP047937,5.0,4.0,,,,,4.0,4981.0,"FRONTAL AIRBAG,KNEE AIR BAG",,,,,,,,,,,,,,,14251.0,WA1H2BFZ4NP054134,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,,,,,14250.0,WA1J2BFZ4NP052465,3.0,,,"URTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,0.113,1.39,No Tip,,,4.0,,
21,AUDI,Q4 E-TRON,2026,SUV,MPV,RWD,1,,,5,"1,3,4,5,6",,6008.0,6041.0,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,,,,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,,14252.0,WA1J2BFZ5NP047937,5.0,4.0,,,,,4.0,4981.0,"FRONTAL AIRBAG,KNEE AIR BAG",,,,,,,,,,,,,,,14251.0,WA1H2BFZ4NP054134,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,,,,,14250.0,WA1J2BFZ4NP052465,3.0,,,"URTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,0.113,,No Tip,,,,,
22,AUDI,Q4 SPORTBACK E-TRON,2026,SUV,MPV,AWD,1,,,5,"1,3,4,5,6",,6041.0,6041.0,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,,,,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,5.0,14252.0,WA1J2BFZ5NP047937,5.0,4.0,,,,,4.0,4981.0,"FRONTAL AIRBAG,KNEE AIR BAG",,,,,,,,,,,,,,,14251.0,WA1H2BFZ4NP054134,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,,,,,14250.0,WA1J2BFZ4NP052465,3.0,,,"URTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,0.113,1.39,No Tip,,,4.0,,
23,AUDI,Q5,2026,SUV,MPV,AWD,1,,,5,"1,3,4,5,6",,5500.0,5500.0,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,,,,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
24,AUDI,Q5 SPORTBACK,2026,SUV,MPV,AWD,1,,,5,"1,3,4,5,6",,5500.0,5500.0,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,,,,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
25,AUDI,Q7,2026,SUV,MPV,AWD,1,,,7,"1,3,4,5,6,7,9",,6393.0,6581.0,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,5,6,7,9",Standard,Head Protection,"1,3,4,6,7,9",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,,,,"1,3,4,5,6,7,9",,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,5.0,14271.0,WA1ACBF74PD002763,4.0,5.0,,,,,4.0,4822.0,"FRONTAL AIRBAG,KNEE AIR BAG",,,,,,,,,,,,,,,14270.0,WA1LCBF72PD002513,5.0,5.0,5.0,5.0,5.0,,,,,5.0,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,,,,,11825.0,WA1AHAF73JD008119,5.0,,,"URTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,0.155,1.26,No Tip,,,4.0,,
